concept,explaination,result
PtTimFunc*ReRoute*,Target name that running prime time for tile ReRoute data ,
PtTimFunc*Route*,Target name that running prime time for tile Route data ,
Py*Checks,Target name that use python to check design issue,
ScRunViaChecksFuncTT0p9vReRouteTyprc100cTT0P9V100CViachecks,a target name that check if power stripe missing via,
ShGetDef,a target name copying the tile def from release dir to local dir.,
ShGetDontTouch,a target name that get don't touch list,
ShGetMacroLists,a target name that get macro list,
ShGetScanDef,a target name that copy the scan def from release dir to local run dir.,
Sort*Grp,Target name that sort all the timing reports by clocks,
StXtrctrc*,a target name that perform RC extraction,
UpdateTunable,a target name that generate tune file for each target,
trackplan,it is a tcl file in which define offset of each layer routing track in a tile.,
FCT,a team is responsible for full chip timing of a die,
FCFP,a team is responsible for full chip floorplan,
AON,always on region where no power switch inserted.,
ONO,On-off region where power switch are inserted.,
aspect ratio,known,
VT ratio,known,
halo spacing,known,
RDL layer,"For TSMC N6: RDL layer is M12/M13/AP
For TSMC N5: RDL layer is M14/M15
For TSMC N3: RDL layer is M16/M17/AP",
timing violation or negative slack root cause,"report the logic level/max fanout/largest transition for below report, if one of below rule meet please tell me.
1. Logic Levels > 28
2. max fanout > 24
3. transition > 200ps",
